rijschool,plaats,aantal_examens,slagingspercentage_eerste_examens,slagingspercentage_alle_examens,weighted_rate_first70_all30,weighted_volume_adjusted_score,rank_first_weighted,research_status,sample_n,pass_rate_basis,pass_rate_ci_low,pass_rate_ci_high,ci_width,years_in_business,maturity_flag,low_volume,reliability_adjusted_score,english_instruction,english_confidence,english_evidence,english_source,transmission,transmission_source,founding_year,founding_year_basis,founding_confidence,website,phone,address,postcode,kvk_number,cbr_rijschoolnummer,google_rating,review_count,price_signal,waitlist_signal,notes,meets_min_sample,availability,locality,review_trust,review_substance,sentiment_index,sentiment_label,sentiment_source,sentiment_confidence,review_summary,review_themes_pos,review_themes_neg,review_red_flags,english_in_reviews,review_verified,reviews_read,review_modifier,decision_score
Autorijschool Avalon,ROSMALEN,78,42,51,44.7,34.17,66,ok,78,first_exam,31.7,53.1,21.4,11,established,no,31.7,unknown,low,,,both,https://www.klantenvertellen.nl/reviews/1076746/autorijschool_avalon,2015,website,high,https://www.autorijschool-avalon.nl,06 48787175,Het Frontier 92,5245 EE,91100240,6746F7,3.8,6,"€72/uur (60 min); pakket 35 uur €2485, 40 uur €2800, 45 uur €3105",,"One-woman school run by female instructor 'Avalon'; own site 'Over mij' states 'Sinds 2008 verzorg ik rijlessen ... in 2015 ben ik mijn eigen rijschool gestart' (2015 = own-school start). Conflicting founding signals: rijloket says 'Sinds 2014', clickdrive says '3 jaar ervaring' (KvK 91100240 is a recently issued number, possibly a later re-registration/legal-form change). Specialises in faalangst/examenvrees and learners with ADD/ADHD/autisme/leerproblemen/rijangst. CBR 'Bijzonderheden' lists 'Personenauto met Automaat', but the school's own klantenvertellen profile and rijschool-tips both state lessons in 'schakelauto en automaat' / 'handgeschakelde auto en automaat' -> classified as both. Disambiguation: rijloket/rijschool-tips list a stale phone 06 14594101 and mix in motor categories (A1/A2/A) and a male instructor 'Richard' from a separate 'Rijschool Avalon' listing; the verified school here is auto (B) only, phone 06 48787175, email autorijschool-avalon@outlook.com. CBR examenlocatie Den Bosch; 42% first-attempt pass over 38 first exams (CBR 2025/26 window). google_rating 3.8 with 6 reviews per rijloket/rijscholenvergelijken (Google Maps); clickdrive shows a conflicting '0,0/5 (17 reviews)' which is a parse artifact. No evidence of English-language instruction anywhere (site Dutch-only, all reviews in Dutch).",yes,unknown,in_city,strong,substantive,72,positive,openai,high,"On the independent, verified klantenvertellen platform (96 reviews, 9.9/10, 100% recommend, fresh into 2026) students consistently praise instructrice 'Avalon' for being calm, patient and personal, especially helping learners with faalangst, stress or concentration problems pass — often first time. The main negative note is an older Google one-star review describing aggressive/intimidating behaviour from a male instructor (Richard), plus a below-average CBR pass rate.",geduld en rust; duidelijke uitleg; persoonlijke begeleiding; veilig en op je gemak voelen; goede voorbereiding op examen; zelfvertrouwen en reflectie; flexibel inspelen op behoeften; snel terecht kunnen,agressief/asociaal rijgedrag van een instructeur; slechte aanbeveling door incident,"Reviews split across two apparent personas: verified klantenvertellen praises female instructor 'Avalon' (clearly tied to autorijschool-avalon.nl), while Google/rijloket/trustoo conflate a related 'Rijschool Avalon' Uden listing with male instructor 'Richard' who has one strongly negative review.; klantenvertellen reviews are uniformly glowing (almost all 10/10) and many come from the same nearby towns (Uden/Volkel), but they are verified, specific, dated and substantive, so not flagged as fake.; Google sample is very small (~6 reviews) so the negative outlier carries limited statistical weight.",no,yes,20,1.066,37.5
Autorijschool Driss,'S-HERTOGENBOSCH,76,69,66,68.1,56.97,11,ok,76,first_exam,57.9,78.3,20.4,18,established,no,57.9,unknown,low,,,unknown,,2008,website,high,https://rijschooldriss.nl,,Lagemorgenlaan 16,5223HW,171981080000,4161U8,5.0,1,,,"Founding year 2008 confirmed by explicit 'sinds 2008' on own website (rijschooldriss.nl) and clickdrive.nl; website also says 'al 12 jaar' (page text appears to date from ~2020). Aggregators state '19 jaar werkzaam' (rijschool-tips.nl) and '20 jaar ervaring' (clickdrive.nl), roughly consistent with 2007-2008 start; treated 'sinds 2008' as authoritative. Only license category B confirmed (clickdrive.nl); no automaat/schakel statement found anywhere, so transmission left unknown (lesauto shown is a VW Golf 7 on the website, not conclusive). No English-language instruction evidence for Driss specifically; English learner reviews found in search results belonged to other schools (Inseen, Joyce), not Driss. Single instructor school (Driss). Contact email fbrigui77@hotmail.com; no public phone number found. CBR exams last 12 months: 76 (aggregators report 82 total examens, 62% slagingspercentage).",yes,unknown,in_city,weak,thin,90,very_positive,openai,high,"The handful of reviews that genuinely belong to this 's-Hertogenbosch school are uniformly positive about owner-instructor Driss as friendly, calm and good at exam preparation, with one substantive Google review praising the practical everyday-driving tips. However the evidence base is very thin (one credible review plus two generic, same-name ratings) and there is no independent verified-review presence, so the positive picture is weakly supported.",goede service; duidelijke en goede rijlessen; vriendelijke en bekwame instructeur; rustige begeleiding; goede voorbereiding op examen; praktische tips voor beginnende bestuurders; snel rijbewijs gehaald,,"Almost no online review footprint for this specific school (KvK 171981080000, 's-Hertogenbosch): only 1 substantive Google review found plus 2 generic ratings; Both reviews on rijschoolspecialist.nl are attributed to the same name 'Jan Westerhof' with near-identical generic text ('Top rijschool!') - looks seeded/non-credible; No independent verified-platform presence (no klantenvertellen, Kiyoh, Trustpilot or Trustoo page for this school); High risk of confusion: several glowing reviews online mention an instructor named 'Driss'/'Dries' but belong to OTHER schools (Rijschool Roadrunners, a Leiden school, ANWB/Koos van der Bilt) and were excluded",no,no,3,1.03,64.6
Rijschool Willi Horváth,'S-HERTOGENBOSCH,76,42,49,44.1,33.49,69,ok,76,first_exam,31.6,53.2,21.6,19,established,no,31.6,unknown,low,,,unknown,,2007,kvk,high,,06 18 80 74 75,Guido Gezellelaan 26,5216TH,17214630,4717W8,5.0,10,,,"Eenmanszaak (1 employee), SBI 8553 auto- en motorrijschool; vestigingsnummer 000013274171. KvK registration date 27-11-2007 is consistent across rijscholen-gids.nl, rijschool-tips.nl and vindjerijschool.nl, and corroborated by aggregators showing '18-19 jaar ervaring' (2026 minus 2007). Offers categories A (motor: A1/A2/A/AVB/AVD) and B (car); some directories also list E/C/D but those look like over-broad directory templates. No own website: vindjerijschool.nl lists 'www.rijschoolwillihorvath.nl' but that domain returns NXDOMAIN (does not resolve), so it is a fabricated directory URL; primary contact is personal email willi.marina@wanadoo.nl + phone. CAUTION: clickdrive.nl's 'About' prose ('Jan Schilder... 20 jaar verkeerspolitie Amsterdam... sinds 2010... gespecialiseerd in motor- en zijspanlessen') is a generic/templated description that contradicts the verified entity (name Willi Horváth, KvK 2007) and must NOT be used for founding, operator identity or transmission. The English-language driving content found at startdrivingdenbosch.nl belongs to a DIFFERENT school (Start Driving), not this one. No automaat/schakel detail and no English-instruction evidence found anywhere. Google rating 5.0/5 (10 reviews) is taken from clickdrive.nl's structured field; treat with low confidence given the listing's unreliable prose. Phone 06 18 80 74 75 from official CBR page (clickdrive shows an alternate 06 51112089).",yes,unknown,in_city,insufficient,none,60,positive,agent,,"No readable customer review text could be found on any credible platform (klantenvertellen.nl, Google review bodies, Trustpilot, Facebook). ClickDrive reports an unread Google aggregate of 5.0/5 from 10 reviews, but with no review bodies available the authenticity and substance cannot be judged, so trust is insufficient.",,,"No readable review text found on any platform; only a numeric star aggregate exists.; klantenvertellen.nl has no presence/verified reviews for this school.; Multiple directory aggregators (rijschoolspecialist.nl, rijscholen-gids.nl, rijlesindebuurt.nl) explicitly show 0 reviews / 'nog geen beoordelingen'.; ClickDrive reports a Google aggregate of 5.0/5 from 10 reviews, but the review bodies do not render and could not be retrieved.; ClickDrive/EduCar profiles attach a generic templated 'Jan Schilder' bio (motorcycle/zijspan specialist, ex-Amsterdam traffic police) that appears reused across schools and likely does not describe this one-person eenmanszaak (owner Willi Horváth) — a data-quality red flag.; Perfect 5.0/5 from exactly 10 Google reviews on a school whose CBR car pass rate is below average (42%) warrants caution, but cannot be assessed without the text.; One-person eenmanszaak (single instructor), active since 2007; very low online review footprint.",unclear,no,0,1.0,41.1
Rij-Nu,VUGHT,75,49,59,52,40.87,49,ok,75,first_exam,38.0,60.1,22.1,6,established,no,38.0,unknown,low,,,unknown,,2020,website,med,https://www.rij-nu.nl,06 15 28 81 75,Repelweg 205,5261 SZ,78576083,2968F3,5.0,80,"€65/60min losse les; praktijkexamen €345,50 (incl. les vooraf + autoverhuur); faalangstexamen €400",,"VOF (vennootschap onder firma), sector onderwijs (auto- en motorrijscholen per SBI), so likely manual + motorcycle but transmission not explicitly stated. Instructeurs: Bo Vaessen en Fouad El Faouzi. Examenlocatie Den Bosch. Founding inferred from 'Rij-Nu 6 jaar ervaring' on clickdrive.nl (2026-6=2020). No evidence of English instruction or automaat/schakel distinction on own site or aggregators (rijschoolspecialist lists 'Auto: Beschikbaar' without transmission type). Slagingspercentage ~78-79% over 41 CBR exams per rijschoolspecialist/rijschool-tips. Google/clickdrive rating 5.0 from ~80 reviews. KvK shown as 785760830000 on rijschoolspecialist = base KvK 78576083 plus branch (vestigings) suffix.",yes,unknown,nearby,moderate,mixed,95,very_positive,openai,high,"Students consistently praise Rij-Nu's two instructors (Bo Vaessen and Fouad El Faouzi) for patience, clear feedback, smooth communication/planning and a relaxed, fun atmosphere in the car, with many reporting they passed on the first attempt. All reviews are 5-star Google reviews (no independent verified or negative reviews surfaced), so the picture is overwhelmingly positive but single-platform and unbalanced.",goede lessen; duidelijke en vlotte communicatie; geduld en rust in de auto; leerzame en fijne lessen; goede voorbereiding op examen; vriendelijke en motiverende instructeurs; snel slagen / in één keer geslaagd,,"No independent verified-customer reviews (not present on klantenvertellen); all reviews are Google reviews surfaced via aggregator pages (clickdrive.nl, rijschoolbijmij.nl); Uniformly 5-star with no negative/mixed reviews visible; many are generic one-liners ('Aanrader!', 'Top!') with the recurring 'in 1 keer geslaagd' phrasing; Several aggregator review titles look auto-generated/templated ('Zeer goede lessen en communicatie!'), so the displayed summaries may not be verbatim student wording",no,no,14,1.081,39.8
J.M. van Eijk,'S-HERTOGENBOSCH,74,58,61,58.9,47.52,36,ok,74,first_exam,46.6,68.6,22.0,51,established,no,46.6,unknown,low,,,unknown,,1975,kvk,med,http://www.autorijschoolhansvaneijk.nl,(073) 642 14 73,Sint Landolinuslaan 13,5236AV,16043987,8091G1,,,,,"Trades under the name 'Autorijschool Hans van Eijk' (own site autorijschoolhansvaneijk.nl); registered/CBR name is J.M. van Eijk. Small one-person sole proprietorship, B (car) licence, exam centre Den Bosch. Email rijschoolvaneijk@home.nl. Offers faalangstbegeleiding (fear-of-failure coaching) per rijloket.nl and own site. Founding conflict: rijloket.nl states 'al sinds 1975 actief' and rijschool-tips.nl states '51 jaar geleden opgericht' (=1975, KvK-based), but the own website says only 'meer dan 35 jaar ervaring' (more conservative, vague). No evidence found of English-language instruction or of automaat/schakel transmission for THIS school - the English/automatic/price results in search belong to OTHER Den Bosch schools (startdrivingdenbosch.nl, scoobz.nl, drivingschooldenbosch.com, rijschoolindenbosch.nl) and to the unrelated 'Rijschool VAN DER EIJK' in Leeuwarden. No Google rating or review count located. 74 CBR exams last 12 months (DriveDutch, Apr 2026); ~61% pass rate.",yes,unknown,in_city,insufficient,none,50,mixed,agent,,"No authentic customer reviews could be found for J.M. van Eijk (also operating as Autorijschool Hans van Eijk) on any review platform. The only available data is CBR exam statistics (43 first exams, 58% first-time pass rate, roughly the regional average); there is no readable review text to judge what students actually say.",,,"No customer reviews found on any platform (klantenvertellen, Google, Trustpilot, Trustoo, Facebook); clickdrive.nl per-school page explicitly shows 0.0/5 (0 reviews): 'Er zijn nog geen beoordelingen gevonden voor deze rijschool'; Small traditional one-man rijschool (~35-50 yr in business) with effectively zero online review footprint; Search results frequently conflated with a DIFFERENT school 'Rijschool van der Eijk' (rijschoolvdeijk.nl) in Friesland (holwerd/burgum) - those reviews are NOT this school and were excluded; Only CBR exam pass-rate statistics available (58% first-time, 61% overall), no qualitative review text",unclear,no,0,1.0,54.6
Rijschool Erik Brok,HERPT,67,39,46,41.1,30.11,80,ok,67,first_exam,28.2,51.0,22.8,11,established,no,28.2,unknown,low,,,both,https://www.rijschool-erikbrok.nl,2015,website,med,https://www.rijschool-erikbrok.nl,041 666 38 00 / 06 37 08 43 38,Achterweg 11,5255AK,69215790,6999F3,,,"Losse les €63/uur (EduCar gem. €60); pakketten 10 lessen incl. examen €620, 20 lessen €1815, 30 lessen €2435","Owner states 'Sindsdien draait de agenda lekker vol' (full schedule), but no explicit wait time or refusal of new students","One-man local school run by Erik Brok, based in Herpt; exam location Den Bosch. Founding signals conflict: owner narrative says he started his own part-time rijschool ~2015 (after 10 years as instructor from 2005) and went fulltime in April 2018; EduCar lists 'Opgericht 8 jaar geleden' (~2018) and KvK number 69215790 fits a ~2017 business registration. Used 2015 (owner's own part-time-school founding) as founding_year; the 2017-2018 fulltime/KvK signal is the alternative lower bound. No English-language instruction mentioned anywhere; expat suitability unknown. Offers manual (RIS method, standard) plus automaat, opfriscursussen and faalangst lessons. Categories B and BE (trailer); clickdrive also lists AM moped categories. EduCar shows a 5.0 rating from 6 reviews (EduCar platform, not confirmed Google); rijschoolspecialist.nl shows 0 reviews. CBR aggregate first-exam pass rate ~39-46% at Den Bosch (below location average).",yes,unknown,nearby,weak,thin,68,positive,openai,medium,"The very small, single-platform (Google) review corpus describes Erik Brok as a patient instructor who gives personal attention and good support, but the evidence base is thin - only about three reviews carry any text, one positive review is from a likely relative (Lisa Brok), and the single recent negative review complains the instructor quit on the student right before the exam. No verified or independent-platform reviews and no sign of English-language/expat lessons.",goede ondersteuning; veel geduld; fijne instructeur; netjes en behulpzaam,slechte ervaring vlak voor examen; haakt af net voor examen,"Only ~5-6 Google reviews total; only 3 contain any written text, the rest are star-only; No independent verified-review platform (no klantenvertellen, Trustpilot or Trustoo presence found); One of the positive 5-star reviews is from 'Lisa Brok' (same surname as the owner Erik Brok) - likely a relative, not an independent customer; Single-platform corpus (Google only); reviews span 6 years so volume is very low; CBR pass rate is below the exam-location average (39% first-attempt / 46% school vs 54% location average), which the lone negative review echoes ('haakt af net voor examen')",no,no,6,1.014,32.7
Autorijschool Reches,VUGHT,67,23,30,25.1,16.26,105,ok,67,first_exam,14.6,34.4,19.8,36,established,no,14.6,yes,med,"Aggregator lists instruction languages 'Engels / English, Nederlands'; owner Amit Reches lists Engels (Full professional proficiency) on LinkedIn.",https://www.autorijschooltarieven.nl/rijschool/autors-reches,unknown,,1990,website,high,https://www.reches.nl,073-656 93 07 / 06-22 39 29 42,Raadhuisstraat 2003,5261 EH,16060370,6854G2,,11,"€55/uur; pakket 30 lessen incl. examen €1750, 35 lessen incl. examen €1975",No long waitlist: clickdrive states 'Er is ook geen lange wachtlijst om de lessen te starten'.,"One-man school run by owner-instructor Amit Reches (b. 1961 Haifa), eigenaar sinds maart 1990 (per reches.nl/about) and LinkedIn 'Owner Jan 1990 - Present'; website says 'ruim 35 jaar'. Offers both car and motorcycle lessons (instructeursbewijs auto, motor, vrachtwagen). Faalangst-friendly (handles test anxiety). Lesauto is a compact Ford Fiesta, never older than 4 years; no automaat/schakel transmission type stated anywhere, hence transmission unknown. Aggregator stats note low car first-time pass rate at Den Bosch (~17-23%) vs stronger motorcycle results (~58%). ~11 Google reviews, broadly positive on patience and clear instruction. Town registered as Vught; exam location Den Bosch.",yes,open,nearby,moderate,mixed,93,very_positive,openai,high,"Students consistently praise instructor Amit Reches as patient, calm and giving clear, individually-tailored instruction, with several reporting passing in one attempt, especially for motorcycle lessons; reviews are all positive but mostly short Google/website one-liners with no verified (klantenvertellen) source and no negative feedback found.",veel geduld; duidelijke uitleg; rustige lessen; persoonlijke aandacht; individuele begeleiding; deskundige/ervaren instructeur; goed op je gemak stellen; snelle voortgang; veilig leren motorrijden; hoog slagingspercentage,,"No independent verified-review source (klantenvertellen) found; trust rests on Google + the school's own website; Only ~8 Google reviews, several with no written text ('Geen beschrijving'); Many reviews are short one-liners ('Top!', 'aanrader') with limited specifics; All reviews are positive with no critical or mixed feedback, though CBR first-time car pass rate is low (~23%), which the glowing reviews do not reflect",no,no,11,1.077,29.5
Autorijschool Kwaks,NULAND,65,54,57,54.9,42.87,44,ok,65,first_exam,42.0,65.6,23.6,11,established,no,42.0,no,low,Directory field 'Taal: Nederlands' (language: Dutch); no English-language offering found on any aggregator and all 3 Google reviews are in Dutch.,https://www.autorijschooltarieven.nl/rijschool/autors-kwaks,unknown,,2015,kvk,high,,073 850 09 98,Marie Trompstraat 20,5391EK,63505193,8243N8,5.0,3,,,"Eenmanszaak (sole proprietorship), 1 employee, KvK registered 12-06-2015 (rijschool-tips.nl bedrijfsgegevens), SBI 8553. Business description 'Autorijschool en klussenservice' (driving school + handyman/odd-jobs service). Instructor named Dirk (per Google reviews). No own website found; contact email is a consumer Ziggo address (autorijschoolkwaks@ziggo.nl). CBR-based sources (rijschoolspecialist.nl, clickdrive.nl) list only car category B plus auto/motor theory; two weaker directories (rijlesindebuurt.nl) claim A/B/E (motor + trailer) but this is unconfirmed. No explicit automaat vs schakel (transmission) info on any source. English instruction not advertised anywhere; single directory language field says Dutch only.",yes,unknown,in_city,insufficient,thin,76,positive,openai,medium,"Only three short Google reviews exist for Autorijschool Kwaks, all 5 stars and in Dutch. The single substantive one praises instructor Dirk for getting you on the road quickly and being easy to talk to; the other two are one-liners ('Top veilig op de weg', 'Is goed'). One reviewer shares the surname Kwaks, hinting at a possible related-party review, so the tiny sample cannot support a reliable judgment.",snelle voortgang; prettige communicatie met instructeur; aanrader; veilig op de weg,,"Only 3 reviews total across all platforms - far too few to judge reliably; Two of three reviews are trivial one-liners ('Is goed', 'Top veilig op de weg') with no specifics; One reviewer (Annemiek Kwaks) shares the school's surname, suggesting a possible family/related-party review; No independent verified reviews (no klantenvertellen, Trustpilot, or Trustoo profile found); Single-platform (Google only); all aggregator sites just mirror the same 3 Google reviews",no,no,3,1.0,43.9
Autorijschool Heinsman,'S-HERTOGENBOSCH,62,37,44,39.1,27.93,82,ok,62,first_exam,26.1,49.4,23.3,12,established,no,26.1,yes,high,De lessen kunnen op verzoek ook in het Engels gegeven worden.,https://www.autorijschoolheinsman.nl,unknown,,2014,kvk,high,https://www.autorijschoolheinsman.nl,06 30142214,Marie Koenenlaan 77,5237BJ,61580619,7044R3,5.0,4,Kennismakingspakket: 4 rijlessen voor €175,,"Eenmanszaak run by instructor Ronald Heinsman; small one-person school. Specialises in personal/calm guidance for students with faalangst (test anxiety) and autism spectrum disorder (ASS); also offers 2todrive, spoedopleiding and opfriscursus. Teaches via the CBR RIS-method. Offers only category B (car); aggregators show no automaat tag and no explicit automaat/schakel statement, so transmission left unknown (likely manual default but unconfirmed). Founding: KvK registration date 01-10-2014 is authoritative (founding_year 2014). Conflicting secondary signals: rijloket says 'Sinds 2017', clickdrive '12 jaar ervaring', rijschool-tips '11 jaar' — all inconsistent with each other and with KvK, so KvK used. CBR last-12-months exams ~37 with ~54-55% pass rate per aggregators; recent CBR window (Apr 2025-Mar 2026) shows weaker first-time pass (~37-39%).",yes,unknown,in_city,moderate,mixed,92,very_positive,openai,high,"The handful of reviews for this one-man school (instructor Ronald Heinsman) are uniformly positive: students describe him as clear, critical, patient and pleasant, with several saying they passed in one go and were efficiently prepared for the exam. However, the corpus is thin (only ~4 distinct Google reviews, all old and two of them generic one-liners), so confidence is moderate at best.",duidelijke instructies; geduldige hulp; kritische maar prettige instructeur; gezellige lessen; snelle voorbereiding op examen; in één keer slagen; aanbevolen als goede rijschool,,"Very few reviews: only 4 distinct Google reviews exist, all 5-star; Two of the four are generic one-liners ('Top rijschool!'); Reviews are old (2-5 years ago); no recent feedback; No independent verified reviews (no klantenvertellen page); Trustoo's '6 reviews from 2 sources' appears to reuse the same Google reviews; CBR first-time pass rate is below average (37-39%), which the positive reviews do not reflect",no,no,4,1.076,33.5
Praktijkfixers,'S-HERTOGENBOSCH,62,41,44,41.9,30.45,79,ok,62,first_exam,29.6,53.4,23.8,11,established,no,29.6,unknown,low,,,both,https://praktijkfixers.nl/auto,2015,website,med,https://praktijkfixers.nl,06 20 50 00 73,Volkerakstraat 59,5215 CS,854744360000,4808Z1,,316,"Losse rijles schakel €60/uur, automaat €65/uur; proefles €50; spoedpakket schakel vanaf €925 (10 lessen incl. examen)",,"Strongly motorcycle-focused: homepage self-describes as 'De grootste motorrijschool van Nederland' (the largest motorcycle driving school of NL); team shown as motor instructeurs (Alex, Mussi). Also offers car (B), trailer (BE/B+), moped (AM) and motor (A1/A2/A) per clickdrive.nl. Specialised in faalangst (test-anxiety) candidates (website + faalangst exam pricing). NO evidence of English-language instruction found; English-focused Den Bosch results in search were competitors (Scoobz, Start Driving, DriveYourWay), not Praktijkfixers -> english_instruction=unknown. Founding signal conflicting: bambelo.com lists '11 Jaren in bedrijf' (=> ~2015) and website logo asset path is /wp-content/uploads/2021/10; earliest review seen is Dec 2023/Jan 2024. Used '11 jaar' as basis (founding_year 2015, med confidence). Address discrepancy: official website contact page lists visit address Volkerakstraat 59, 5215 CS 's-Hertogenbosch (head office Merwedestraat 229, 3313 GT Dordrecht), while rijschoolspecialist.nl lists Demerstraat 10, 5215BC -> used website visit address. Ratings: bambelo composite 9.5/10 from 316 reviews (Google 295 + Klantenvertellen 21); rijschoolspecialist shows only 2 reviews (5.0). google_rating left null as no direct Google star value verified (composite is 9.5/10). CBR pass rate low: rijschoolspecialist 37% (284 exams, B); drivedutch.nl 44% pass / 62 exams (April 2026). Operates over a wide CBR exam-location area incl. Den Bosch, Dordrecht, Rotterdam region.",yes,unknown,in_city,moderate,mixed,95,very_positive,openai,high,"Students consistently praise Praktijkfixers as a fast, no-nonsense motorcycle school where you can pass AVB/AVD in one or two days with clear explanation, a relaxed atmosphere, named instructors (Alex, Vin, Jamal, Mussi), and no pressure to buy extra lessons; one detailed review describes overcoming a fear of riding after a bad experience at another school. The readable reviews are almost entirely motorcycle-focused and uniformly 5-star, so there is little independent evidence on the car (B) lessons, which carry a notably low CBR pass rate.",snel slagen; duidelijke uitleg; goede begeleiding; prettige en relaxte sfeer; ervaren en hardwerkende instructeurs; goede communicatie; eerlijk en geen verkooptrucs,,"Nearly all readable reviews are 5-star and motorcycle-focused (AVB/AVD), clustered in the same dates (Jul 2025); little independent car-lesson review text; Could not directly extract individual verified Klantenvertellen review bodies; verified status inferred from aggregator (bambelo) listing Klantenvertellen as a source; No negative or mixed reviews surfaced despite targeted searches, while CBR car pass rate is low (37% first exams) - asymmetry between marketing/reviews and exam data; Trustoo page rendered only rating icons, no review text",no,yes,10,1.081,36.1
Rijschool Ron Veen t.h.o.d.n. NXXT,HEDEL,61,29,39,32,21.66,92,ok,61,first_exam,19.1,41.4,22.3,2,new,no,19.1,unknown,low,,,automatic,https://www.nxxt.nl/prijzen-en-pakketten/overige-prijzen-en-mogelijkheden,2024,kvk,med,https://www.nxxt.nl/rijscholen/rijschool-hedel-186,073 303 2792,De Wielwijck 23,5321GX,54026776,2012W5,,,"€59,50 per losse rijles (50 min); pakketten vanaf €1185 (20 lessen)",Geen wachttijden (no wait times) per nxxt.nl,"NXXT franchise/branch operated by instructor Ron Veen for the 's-Hertogenbosch (Den Bosch) region; registered town Hedel. The 's-Hertogenbosch region is explicitly listed by NXXT as automaat-only ('Momenteel kun je alleen lessen in een automaat in de volgende regio's: 's-Hertogenbosch ...'), so this location offers automatic transmission only. KvK number 54026776 and rijschoolnummer 5598X8 belong to the parent entity NXXT Verkeersscholen B.V.; the location-specific CBR code is 2012W5 (per rijloket CBR Open Data). 'Actief sinds 2024 (2 jaar)' per rijloket and EduCar ('2+ jaar ervaring') - treated as registration-based founding year. CBR pass rate for category B is low (~23-29%, 31-61 exams). Brand-wide rating 9,3 (435 reviews) is NOT specific to this location; no location-specific Google rating or review count found. No evidence of English-language instruction found.",yes,open,nearby,insufficient,none,60,positive,agent,,"No reviews specific to Ron Veen / the Hedel location could be found on any platform. The only review text available is NXXT's network-wide review feed (feedbackcompany.com 9.4/10, nxxt.nl), which praises completely different instructors (Richard Iriks, Paul de Jongh, Rob, Truus, Peter, Jeremy) and cannot be attributed to this specific school, so the sentiment read is not grounded in this school's own reviews.",,,"Zero reviews specific to Ron Veen / Hedel: Clickdrive states 'Aucun avis n'a encore ete trouve pour cette auto-ecole' (no review found) and educar/drivedutch carry no review text; The 9.3-9.4/10 score and all visible review text on nxxt.nl and feedbackcompany.com are NXXT franchise-wide and name other instructors (Richard Iriks, Paul de Jongh, Rob, Truus, Peter, Jeremy), not Ron Veen; No klantenvertellen page exists for this specific school (the brand-wide score is not location-attributable); Network-wide review feed shows many near-identical one-line 5-star blurbs ('Heel fijn, altijd een gezellige sfeer', 'Leuke lessen'), a generic-solicited pattern; New school (KvK 91911303, founded ~2 years ago) with low pass rate (CBR first-exam 25-29%, vs ~54% area average), so high franchise marketing score is not corroborated by outcomes; Reddit/Facebook threads raise reliability concerns about the NXXT franchise model (unanswered messages, prepaid packages, instructors quitting) though not specific to Ron Veen",unclear,no,0,1.0,17.7
Autorijschool Marcel van den Heuvel,ROSMALEN,59,74,78,75.2,62.87,4,ok,59,first_exam,61.6,83.5,21.9,20,established,no,61.6,no,low,Aggregator lists single instruction language: 'Taal: Nederlands'. No mention of English instruction on any aggregator or CBR page.,https://www.autorijschooltarieven.nl/rijschool/autors-marcel-van-den-heuvel,manual,https://rijloket.nl/rijscholen/rosmalen/autorijschool-marcel-van-den-heuvel-rosmalen,2006,website,high,,(073) 521 03 07,Goudsbloemstraat 13,5241AE,76861937,3656U8,5.0,6,€55/uur (60 min),,"Single-instructor school (1 persoon werkzaam), vennootschap onder firma. Certified faalangst/rijangst/autisme (test-anxiety/driving-anxiety/autism) instructor; uses Rijopleiding In Stappen (RIS) method. Category B (personenauto) only at CBR Den Bosch; theory also offered for auto + bromfiets per CBR. Transmission classified 'manual' because no 'Automaat' tag appears for this school across aggregators (rijloket/clickdrive tag peers like van Grunderbeek and De Parel as Automaat, but not this one) and only standard schakel personenauto lessons are listed; absence-of-automaat inference, hence not 'both'. Founding year 2006 corroborated by rijloket ('Sinds 2006 / Actief sinds 2006 (20 jaar)') and rijschool-tips ('20 jaar geleden opgericht'). KvK 76861937 (CBR/rijschoolspecialist; rijschool-vinder cites legacy KvK Oost-Brabant 17184896). Google reviews praise warm, calm, patient style. NOTE: clickdrive.nl page contained mismatched boilerplate (Hanodrive text, 178 reviews, Utrecht 030 number) and was disregarded for rating/review counts.",yes,unknown,in_city,weak,thin,96,very_positive,openai,high,"The handful of genuine Google reviews for the Rosmalen school are uniformly glowing: students and parents describe Marcel as a patient, calm instructor who puts learners at ease, helped pupils pass on the first attempt, and kept parents informed of progress, with one family returning for a second child. However, the corpus is very thin (about 6 Google reviews, all 5-star, some near-empty) and there are no independent verified reviews for this specific school, so authenticity cannot be strongly confirmed.",students feel at ease; fine and supportive instructor; keeps parents informed; good learning progress; recommendable; successful passing in one go,,"Only ~6 Google reviews total for this school; very small sample; All reviews are 5-star; some reviews reported as very short/generic or near-empty (per rijschoolbijmij analysis), limiting diversity; No independent verified reviews (klantenvertellen has none for THIS school); A klantenvertellen page for 'Rijschool Marcel' (rijschool-marcel.nl, reviewers from Swifterbant/Dronten in Flevoland) is a DIFFERENT driving school and was excluded; Some aggregators (clickdrive.nl citing '178 reviews 4.7/5') mix in unrelated 'Hanodrive' boilerplate; that count appears unreliable and was not attributed",no,no,3,1.034,69.7
